bresjoID,areal_km2,Shape_STAr,Shape_STLe,centroid_lon,centroid_lat,GLOF,glof_years
168,0.04514686,45146.8605652,2043.0212187,6.384889100086620,60.101437203705500,FALSE,
169,0.04864502,48645.0161743,1463.69145918,6.453604847897820,60.005317993973700,FALSE,
170,0.01768167,17681.6711731,708.393661166,6.42965688477809,60.01476081475290,FALSE,
171,0.84468555,844685.552399,6033.20984558,7.138849869688560,59.93784473219930,FALSE,
172,0.03518572,35185.7158127,1377.4666263,6.334613700753490,59.93520851071860,FALSE,
173,0.05631871,56318.7124329,1889.40272935,6.218849823628470,60.01548105295690,FALSE,
174,0.10436636,104366.359383,2435.82672547,6.277287124635860,60.052608942360600,FALSE,
175,0.00739353,7393.52632141,611.589969589,6.285735697409410,60.04955604044990,FALSE,
176,0.04897842,48978.4250107,1655.60161375,6.297510371649110,60.04946615522400,FALSE,
177,0.03403143,34031.4328537,1411.06536522,6.362230203519240,60.08482761297700,FALSE,
178,0.00163986,1639.85839844,156.181628119,7.311539790170490,60.75689573174970,TRUE,"2022, 2023"
179,0.00338785,3387.85461426,312.036132535,7.493200829969970,60.69201895396720,FALSE,
180,0.02546007,25460.0745239,855.621146272,7.449862790398700,60.68193089038810,FALSE,
181,0.00860158,8601.58502197,446.391071792,7.513109173435690,60.68104207217030,FALSE,
182,0.00769732,7697.3215332,447.066589147,7.5836376960024,60.6680673279658,FALSE,
183,0.00253774,2537.73846436,310.230348809,7.522857772857750,60.641437901528500,FALSE,
184,0.00390292,3902.91644287,270.059844468,7.484804499420800,60.6401057215158,FALSE,
185,0.02735583,27355.8287964,910.765339686,7.716986200452590,60.62072056406660,FALSE,
186,0.00721024,7210.2421875,392.633423873,7.4474783681392500,60.48851918480430,FALSE,
187,0.007456,7455.99993896,568.59637853,7.4536935291511900,60.50488374640190,FALSE,
188,0.00058397,583.968017578,129.380556108,7.497893941470170,60.50691775847000,FALSE,
189,0.00273325,2733.25067139,266.461802154,7.43934784691773,60.573614007626800,FALSE,
190,0.02173193,21731.9340515,842.107482219,7.327392563304910,60.58051015547150,FALSE,
191,1.29187582,1291875.8197,11601.2999995,7.354414117284540,60.58148210021750,FALSE,
192,0.0020318,2031.80480957,253.268484381,7.456128719942730,60.56934472712940,FALSE,
193,0.00257633,2576.3269043,258.259908674,7.345909432751170,60.55407385538110,FALSE,
194,0.00776107,7761.07302856,437.617096083,7.334901584206760,60.565255339536300,FALSE,
195,0.00876571,8765.70898438,476.348585659,7.343754830107140,60.554836532280200,FALSE,
196,0.11074583,110745.826355,2953.40954778,7.3408779392186200,60.54948378151060,FALSE,
197,0.0035081,3508.10067749,289.773335729,7.342913179202940,60.52529549507850,FALSE,
198,0.00162488,1624.88421631,205.510317087,7.394246706023560,60.50931830872000,FALSE,
199,0.03865097,38650.9727783,922.562966401,7.831018729683180,60.60678532826540,FALSE,
200,0.01950018,19500.1811523,660.677941642,7.760552106301240,60.620119593809800,FALSE,
201,0.01233764,12337.6373291,512.963611483,7.747442969086510,60.61745587844230,FALSE,
202,0.0091057,9105.70446777,424.217544701,7.524312127391480,60.64391258121580,FALSE,
203,0.00670367,6703.67260742,459.8931827,7.482713569467400,60.65091786451360,FALSE,
204,0.00313448,3134.48046875,342.711036456,7.366070321286950,60.697524816838,FALSE,
205,0.01790017,17900.171814,888.028176305,7.371464439090220,60.69650510392050,FALSE,
206,0.00041926,419.255065918,117.911369248,7.491934415018630,60.69258710123570,FALSE,
207,0.00206601,2066.01068115,194.743139259,7.455878894669950,60.683291373350800,FALSE,
208,0.05463484,54634.8407288,1102.40645092,6.678858883779260,62.232134094205300,FALSE,
209,0.08992058,89920.5837708,1150.6972482,6.758093653413850,62.21130707656150,FALSE,
210,0.0277255,27725.5025635,653.986471511,8.906559408762680,62.67967764915560,FALSE,
212,0.00307173,3071.73291016,316.576930843,7.992192662363640,62.54184544215500,FALSE,
213,0.00786434,7864.34283447,412.244482822,8.027955015714170,62.50261338933720,FALSE,
214,0.02933243,29332.4331055,729.860995169,7.450897120766560,62.38808577371290,FALSE,
215,0.0037164,3716.40356445,289.612790937,8.207324498459310,62.38358794196440,FALSE,
216,0.01733235,17332.3474731,552.735595052,7.630397173376510,62.287957911436500,FALSE,
217,0.01695411,16954.1062622,653.927631855,7.291990391493090,62.15254194114190,FALSE,
218,0.00415075,4150.74487305,341.734993646,7.29572343744832,62.150733283675800,FALSE,
219,0.00075219,752.193908691,129.29688385,8.330465938273620,62.331292231130600,FALSE,
220,0.0076688,7668.79492188,393.368997403,8.023998367465420,62.53650353132710,FALSE,
221,0.01470371,14703.7064209,614.954878157,8.120106922469550,62.54016830733870,FALSE,
222,0.00544466,5444.66345215,396.662688268,7.495697221470060,62.40849159197080,FALSE,
223,0.17428559,174285.585754,1954.69275228,7.453703128860780,62.3707414812765,FALSE,
224,0.03346827,33468.2664795,872.37082461,7.2550229049919800,62.14142174553120,FALSE,
225,0.21272863,212728.634338,3831.25300513,7.572738091397130,62.15990022939190,FALSE,
226,0.0226828,22682.803772,587.800704947,7.689250306785110,62.1916763431506,FALSE,
227,0.01074951,10749.5133667,518.586225928,7.740122568546240,62.37275623536620,FALSE,
228,0.01136995,11369.9544067,607.145156542,7.760168191671710,62.35040143495960,TRUE,2020
229,0.0410263,41026.2977905,980.829828312,7.761899517490800,62.35393700848810,TRUE,2020
230,0.00187438,1874.37536621,173.593407833,7.6204511645829000,62.24946580484190,TRUE,"1932, 1934"
231,0.07547486,75474.8596191,1396.94078882,7.5745221543836400,62.250964831888300,TRUE,2020
232,0.00982645,9826.45233154,625.852433639,7.460710756720800,62.29240009405400,FALSE,
233,0.07307327,73073.2736206,1321.00318249,8.31630117656852,62.540424326421800,FALSE,
234,0.00235998,2359.97735596,187.00284441,8.268004114857000,62.519157742647000,TRUE,2020
235,0.00392999,3929.99047852,262.847484779,9.09879975906485,62.38436661051800,FALSE,
236,0.00439633,4396.3260498,383.598292387,9.10302278057747,62.8544642713856,FALSE,
237,0.00951789,9517.88781738,377.362263104,9.195861685704250,62.30250342836760,FALSE,
238,0.03056329,30563.2868042,781.678620322,7.276204274020050,60.96694216029470,FALSE,
239,0.01803512,18035.1154785,762.583773477,7.3161179930123500,60.9711132712991,FALSE,
240,0.06819185,68191.8479004,1083.01324079,7.300553081866740,60.76719589040860,FALSE,
242,0.10383829,103838.290131,1505.64140525,7.290944924355490,60.77010148956580,FALSE,
243,0.296868,296868.001556,3111.72665333,7.298470479994200,60.75670683676230,FALSE,
244,0.04176149,41761.4884644,1000.35565976,7.340884693901070,60.74015148560910,FALSE,
245,0.05688075,56880.7478027,1190.11824027,13.680407453896400,65.180250724149,FALSE,
246,0.1146267,114626.702393,1467.21335751,13.710871431032500,65.33902974534750,FALSE,
247,0.002564,2563.99951172,229.031133596,13.700618907372200,65.3436242218248,FALSE,
248,0.00558922,5589.22387695,294.069622992,13.704283791995600,65.3534211221029,FALSE,
249,0.0068474,6847.4050293,427.252806045,13.791517973778400,65.35987747164010,FALSE,
250,0.00140853,1408.52636719,195.314016994,13.83542136889710,65.44364635348810,FALSE,
251,0.00945314,9453.14086914,445.852859095,13.774982757948200,65.77676072964580,FALSE,
252,0.00156121,1561.21240234,219.77076362,14.300588503198900,65.73906396171940,FALSE,
253,0.00797313,7973.13012695,588.52611378,14.129503205773000,66.00057528536460,FALSE,
254,0.00525417,5254.16796875,396.448513222,14.138250199202000,66.00186365144720,FALSE,
255,0.00932247,9322.4699707,580.315635559,14.144949634059800,66.00351160751620,FALSE,
256,0.00273614,2736.14453125,253.449216936,14.378646298914000,65.96844947134440,FALSE,
257,0.15679553,156795.532715,1640.14482235,15.010804246047600,66.31973444948600,FALSE,
258,0.15899868,158998.676514,2073.53343539,15.009208084506800,66.30627880424470,FALSE,
259,0.11213799,112137.986816,2285.94393103,14.573083758825500,66.48011307574130,FALSE,
260,0.00174245,1742.44555664,317.588249218,14.597673616671900,66.50197200493930,FALSE,
261,0.00836752,8367.52148438,542.658199848,14.533505012663500,66.53412591903900,FALSE,
262,0.00149721,1497.20556641,143.617792119,14.533908841370300,66.535924131227,FALSE,
263,0.133249,133248.995605,1635.33111783,14.50409912053560,66.54874490258470,FALSE,
264,0.04425947,44259.4663086,1266.62331107,14.610338894989100,66.57055161210770,FALSE,
265,0.013667,13667.0031738,532.638099328,14.553259814772700,66.5995634590955,FALSE,
266,0.0059741,5974.09570313,366.297399229,14.791631227783900,66.58025433750920,FALSE,
267,0.01129556,11295.5610352,672.953859295,14.355218587094100,66.66032584054920,FALSE,
268,0.02447469,24474.6884766,909.009392062,14.29441786203670,66.57924316790520,FALSE,
269,0.00426856,4268.5546875,441.145005023,14.01086006693800,66.57240156662810,FALSE,
270,0.00490839,4908.38989258,290.514138742,14.102836578866600,66.61612029718990,FALSE,
271,0.00497124,4971.23852539,360.920129973,14.181940120648400,66.63396066052390,FALSE,
272,0.01108828,11088.2763672,594.535559575,14.215294749277700,66.65451598422850,FALSE,
273,0.03196997,31969.9711914,763.974813974,15.234971049314800,66.67462929449610,FALSE,
274,0.00313931,3139.30883789,313.813724353,14.003199160606400,66.7436668507723,FALSE,
275,0.11366225,113662.246094,1391.81256195,14.346325643410700,66.99284234262170,FALSE,
276,0.18752977,187529.773682,2545.89633163,14.446155426641500,66.8560346081252,FALSE,
277,0.00263686,2636.86474609,258.635938829,14.488886407410600,66.82064248193620,FALSE,
278,0.03713199,37131.9902344,979.074901585,16.294963224288600,67.11478505018940,FALSE,
279,0.03906964,39069.63598630000,1161.76765982,16.29493402614150,67.11657645387100,FALSE,
280,0.00270966,2709.66113281,338.631989479,15.950649745365100,67.29813353695460,FALSE,
281,0.00383549,3835.48974609,281.225536647,15.947103245913100,67.25481173334700,FALSE,
282,0.0054801,5480.10205078,501.033497808,16.015712028655900,67.4055024990813,FALSE,
283,0.00718533,7185.32739258,479.982150305,16.105604673456800,67.41758629749140,FALSE,
284,0.03058542,30585.416748,984.07386565,14.8287080441615,68.36598136387160,FALSE,
285,0.00411152,4111.52099609,450.979095069,15.635057267018900,67.72675987619380,FALSE,
286,0.00520272,5202.72045898,389.870181783,16.232266051895600,67.7637419775293,FALSE,
287,0.00296052,2960.52099609,326.60538932,16.22785055307710,67.76373568806920,FALSE,
288,0.01007378,10073.7805176,568.353505469,16.92841666194460,67.99952656996070,FALSE,
289,0.0119298,11929.7978516,506.335865823,17.098603716379700,68.05544035408920,FALSE,
290,0.00883224,8832.23925781,413.869178952,17.237723040385600,68.17141837126400,FALSE,
291,0.00225579,2255.78662109,195.841650116,17.480281143707300,68.29909242740330,FALSE,
292,0.002957,2956.99755859,237.476943535,18.01126402552030,68.09118965496100,FALSE,
293,0.00902542,9025.42529297,480.028417835,18.018850988884200,68.09610771897630,FALSE,
294,0.00489693,4896.92773438,410.540323186,17.863183932344400,68.10273533024730,FALSE,
295,0.00314084,3140.83813477,250.959035351,15.436443743777900,68.52115013998360,FALSE,
296,0.00912001,9120.01220703,529.870085291,18.387501230719700,68.71847379846990,FALSE,
297,0.00883454,8834.54150391,502.950761714,19.745355732272600,69.29207374375240,FALSE,
298,0.07030899,70308.99462890000,1094.49364536,19.770467443258100,69.274752951602,FALSE,
299,0.04145327,41453.2714844,995.332821836,20.2046635322644,69.25598970979960,FALSE,
300,0.01060442,10604.4189453,618.379086714,20.14137293566390,69.17441533322200,FALSE,
301,0.87977821,879778.210938,5334.91718433,20.03587955916490,68.99474450368820,FALSE,
302,0.00509223,5092.22509766,319.135308782,19.190648487592200,68.78856217108400,FALSE,
303,0.00636913,6369.13574219,316.979406039,19.337301281618600,68.56352083967540,FALSE,
304,0.0010842,1084.20068359,152.767416835,18.443725675104100,69.72540919616430,FALSE,
305,0.03014903,30149.0268555,736.165316007,19.378971968307000,69.41516921991290,FALSE,
306,0.01229504,12295.0410156,702.577782039,19.926596795727900,69.46108295486090,TRUE,2024
307,0.04088877,40888.7666016,1338.64762892,20.663171028581200,69.70304376621430,FALSE,
308,0.01141539,11415.3862305,497.43312345,21.447140972104700,69.71651856666210,FALSE,
309,0.09591829,95918.2915039,1209.57565776,21.571006711715700,69.72803587343870,FALSE,
310,0.02478472,24784.7211914,900.790450548,21.532459597837500,69.76257275188720,FALSE,
311,0.00688293,6882.93164063,407.111127969,21.688419129451600,70.12619219386630,FALSE,
312,0.01292754,12927.5439453,600.640521624,23.226133925348000,70.42542777220090,FALSE,
313,0.00972077,9720.76806641,500.534801192,23.228523459790500,70.40152753217290,FALSE,
314,0.0078006,7800.59912109,461.579543523,23.275238618041900,70.39765071579760,FALSE,
315,0.00230495,2304.94677734,300.32269849,23.252772702879200,70.39684226244990,FALSE,
316,0.00601293,6012.92871094,640.689152602,23.259819519615700,70.3959685922919,FALSE,
317,0.04063961,40639.6147461,996.08428911,21.70414631552530,70.1201773519735,FALSE,
318,0.09834806,98348.0561523,2854.5097875,21.44284433233920,69.72898620676430,FALSE,
319,0.01029038,10290.3798828,472.178721276,21.527428476786800,69.77504961271200,FALSE,
320,0.00371712,3717.11523438,234.796003866,20.23550195372380,69.7893747539355,FALSE,
321,0.00320293,3202.93017578,300.137239448,20.078669026724800,69.67921581386020,FALSE,
322,0.00350337,3503.37451172,320.15446218,20.174163813242600,69.61396700987960,FALSE,
323,0.00340329,3403.28613281,280.135097298,20.180703792110800,69.61291268144340,FALSE,
324,0.02593181,25931.8081055,806.550608343,20.761466868258900,69.57193451672740,FALSE,
325,0.00452769,4527.68652344,319.976393189,20.81865600676120,69.55811082037160,FALSE,
326,0.0033876,3387.59716797,306.188843701,19.40931841521630,69.42740591482140,FALSE,
327,0.08185014,81850.1455078,2080.06126909,19.415780096849200,69.42335832139880,FALSE,
328,0.03130424,31304.2373047,1018.69016158,19.915313856014900,69.39235087566800,FALSE,
329,0.23460619,234606.194824,4443.66601967,19.403909349464300,69.41766060147380,FALSE,
330,0.02382979,23829.7949219,1353.20704616,20.810621895224900,69.55526487341130,FALSE,
331,0.05368977,53689.7685547,1118.46108729,20.177852880456500,69.6871466881225,FALSE,
332,0.08912889,89128.8989258,1692.55950122,20.22597054353960,69.71716447288530,FALSE,
